VCD info: dumpfile Sumadores.vcd opened for output.
No. Suma =          56: Operador A =  47, Operador B =  96, Sumador_1 = 143, Sumador_2 =   z, Sumador_3=  z
No. Suma =          57: Operador A = 158, Operador B =  61, Sumador_1 = 219, Sumador_2 =   z, Sumador_3=  z
No. Suma =          58: Operador A =  59, Operador B =  46, Sumador_1 = 105, Sumador_2 =   z, Sumador_3=  z
No. Suma =          59: Operador A = 182, Operador B =  63, Sumador_1 = 245, Sumador_2 =   z, Sumador_3=  z
No. Suma =          60: Operador A = 137, Operador B = 114, Sumador_1 = 251, Sumador_2 =   z, Sumador_3=  z
No. Suma =          61: Operador A = 192, Operador B =  32, Sumador_1 = 224, Sumador_2 =   z, Sumador_3=  z
No. Suma =          62: Operador A =  32, Operador B =  28, Sumador_1 =  60, Sumador_2 =   z, Sumador_3=  z
No. Suma =          63: Operador A = 167, Operador B = 187, Sumador_1 =  98, Sumador_2 =   z, Sumador_3=  z
No. Suma =          64: Operador A = 201, Operador B =  23, Sumador_1 = 224, Sumador_2 =   z, Sumador_3=  z
No. Suma =          65: Operador A = 104, Operador B = 155, Sumador_1 =   3, Sumador_2 =   z, Sumador_3=  z
No. Suma =          66: Operador A = 183, Operador B = 126, Sumador_1 =  53, Sumador_2 =   z, Sumador_3=  z
No. Suma =          67: Operador A = 129, Operador B =  86, Sumador_1 = 215, Sumador_2 =   z, Sumador_3=  z
No. Suma =          68: Operador A = 198, Operador B =  70, Sumador_1 =  12, Sumador_2 =   z, Sumador_3=  z
No. Suma =          69: Operador A = 250, Operador B =  93, Sumador_1 =  87, Sumador_2 =   z, Sumador_3=  z
No. Suma =          70: Operador A = 173, Operador B =  42, Sumador_1 = 215, Sumador_2 =   z, Sumador_3=  z
No. Suma =          71: Operador A =  23, Operador B = 173, Sumador_1 = 196, Sumador_2 =   z, Sumador_3=  z
No. Suma =          72: Operador A =   0, Operador B = 249, Sumador_1 = 249, Sumador_2 =   z, Sumador_3=  z
No. Suma =          73: Operador A =  82, Operador B =  81, Sumador_1 = 163, Sumador_2 =   z, Sumador_3=  z
No. Suma =          74: Operador A =  70, Operador B =  26, Sumador_1 =  96, Sumador_2 =   z, Sumador_3=  z
No. Suma =          75: Operador A = 183, Operador B =  75, Sumador_1 =   2, Sumador_2 =   z, Sumador_3=  z
No. Suma =          76: Operador A =  24, Operador B = 101, Sumador_1 = 125, Sumador_2 =   z, Sumador_3=  z
No. Suma =          77: Operador A =  45, Operador B = 178, Sumador_1 = 223, Sumador_2 =   z, Sumador_3=  z
